"type_of_trial","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","difficulty","correct_key"
"","null","images_test/masked-version/BM0603_1100_00F_mask.jpg","null","image-keyboard-response","22","38140","0.0-22.0","",""
"","null","scrambled/BF0616_1100_00F.jpg","null","image-keyboard-response","23","38643","0.0-23.0","",""
"","322.02999999935855","images_test/masked-version/BM0603_1110_45L_mask.jpg","75","image-keyboard-response","24","38966","0.0-24.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","25","39968","0.0-25.0","",""
"","null","images_test/masked-version/BF0604_1100_04F_mask.jpg","null","image-keyboard-response","26","41969","0.0-26.0","",""
"","null","scrambled/BF064_1100_00F.jpg","null","image-keyboard-response","27","42472","0.0-27.0","",""
"","447.29499999994005","images_test/masked-version/BF0604_1100_45L_mask.jpg","75","image-keyboard-response","28","42920","0.0-28.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","29","43923","0.0-29.0","",""
"","null","images_test/masked-version/BM0604_1100_00F_mask.jpg","null","image-keyboard-response","30","45928","0.0-30.0","",""
"","null","scrambled/BF0617_1100_00F.jpg","null","image-keyboard-response","31","46429","0.0-31.0","",""
"","280.34500000103435","images_test/masked-version/BM0604_1110_45L_mask.jpg","75","image-keyboard-response","32","46711","0.0-32.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","33","47714","0.0-33.0","",""
"","null","images_test/masked-version/BF0605_1100_05F_mask.jpg","null","image-keyboard-response","34","49717","0.0-34.0","",""
"","null","scrambled/BF065_1100_00F.jpg","null","image-keyboard-response","35","50219","0.0-35.0","",""
"","312.35500000002503","images_test/masked-version/BF0605_1100_45L_mask.jpg","75","image-keyboard-response","36","50532","0.0-36.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","37","51536","0.0-37.0","",""
"","null","images_test/masked-version/BM0605_1100_00F_mask.jpg","null","image-keyboard-response","38","53540","0.0-38.0","",""
"","null","scrambled/BF0618_1100_00F.jpg","null","image-keyboard-response","39","54042","0.0-39.0","",""
"","728.4949999993842","images_test/masked-version/BM0605_1110_45L_mask.jpg","75","image-keyboard-response","40","54772","0.0-40.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","41","55774","0.0-41.0","",""
"","null","images_test/masked-version/BF0606_1100_06F_mask.jpg","null","image-keyboard-response","42","57776","0.0-42.0","",""
"","null","scrambled/BF066_1100_00F.jpg","null","image-keyboard-response","43","58278","0.0-43.0","",""
"","297.60999999962223","images_test/masked-version/BF0606_1100_45L_mask.jpg","75","image-keyboard-response","44","58577","0.0-44.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","45","59581","0.0-45.0","",""
"","null","images_test/masked-version/BM0606_1100_00F_mask.jpg","null","image-keyboard-response","46","61584","0.0-46.0","",""
"","null","scrambled/BF0619_1100_00F.jpg","null","image-keyboard-response","47","62086","0.0-47.0","",""
"","335.7250000008207","images_test/masked-version/BM0606_1100_45L_mask.jpg","75","image-keyboard-response","48","62423","0.0-48.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","49","63428","0.0-49.0","",""
"","null","images_test/masked-version/BF0607_1100_07F_mask.jpg","null","image-keyboard-response","50","65432","0.0-50.0","",""
"","null","scrambled/BF067_1100_00F.jpg","null","image-keyboard-response","51","65938","0.0-51.0","",""
"","325.77500000115833","images_test/masked-version/BF0607_1100_45L_mask.jpg","75","image-keyboard-response","52","66265","0.0-52.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","53","67267","0.0-53.0","",""
"","null","images_test/masked-version/BM0607_1100_00F_mask.jpg","null","image-keyboard-response","54","69272","0.0-54.0","",""
"","null","scrambled/BF0620_1100_00F.jpg","null","image-keyboard-response","55","69774","0.0-55.0","",""
"","634.8450000004959","images_test/masked-version/BM0607_1100_45L_mask.jpg","75","image-keyboard-response","56","70410","0.0-56.0","",""
"","7253.824999999779","<p>To begin part two, please press any key on your keyboard.</p>","70","html-keyboard-response","57","77665","0.0-57.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","58","78666","0.0-58.0","",""
"","null","images_test/masked-version/BF0609_1100_09F_mask.jpg","null","image-keyboard-response","59","80670","0.0-59.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","60","81172","0.0-60.0","",""
"","null","images_test/masked-version/BF0601_1100_45L_mask.jpg","null","image-keyboard-response","61","85174","0.0-61.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","62","86179","0.0-62.0","",""
"","null","images_test/masked-version/BM0609_1100_00F_mask.jpg","null","image-keyboard-response","63","88182","0.0-63.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","64","88684","0.0-64.0","",""
"","304.8049999997602","images_test/masked-version/BM0606_1100_45L_mask.jpg","75","image-keyboard-response","65","88990","0.0-65.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","66","89994","0.0-66.0","",""
"","null","images_test/masked-version/BF06010_1100_010F_mask.jpg","null","image-keyboard-response","67","92000","0.0-67.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","68","92504","0.0-68.0","",""
"","1396.179999999731","images_test/masked-version/BF0603_1100_45L_mask.jpg","70","image-keyboard-response","69","93903","0.0-69.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","70","94904","0.0-70.0","",""
"","null","images_test/masked-version/BM0610_1100_00F_mask.jpg","null","image-keyboard-response","71","96905","0.0-71.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","72","97411","0.0-72.0","",""
"","239.3000000010943","images_test/masked-version/BM0601_1110_45L_mask.jpg","75","image-keyboard-response","73","97652","0.0-73.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","74","98653","0.0-74.0","",""
"","null","images_test/masked-version/BF06011_1100_011F_mask.jpg","null","image-keyboard-response","75","100654","0.0-75.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","76","101156","0.0-76.0","",""
"","248.35999999959313","images_test/masked-version/BM0605_1110_45L_mask.jpg","75","image-keyboard-response","77","101406","0.0-77.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","78","102406","0.0-78.0","",""
"","null","images_test/masked-version/BM0616_1100_00F_mask.jpg","null","image-keyboard-response","79","104412","0.0-79.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","80","104916","0.0-80.0","",""
"","253.6099999997532","images_test/masked-version/BM0602_1100_45L_mask.jpg","75","image-keyboard-response","81","105171","0.0-81.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","82","106172","0.0-82.0","",""
"","null","images_test/masked-version/BF06012_1100_012F_mask.jpg","null","image-keyboard-response","83","108178","0.0-83.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","84","108679","0.0-84.0","",""
"","412.16499999973166","images_test/masked-version/BF0607_1100_45L_mask.jpg","75","image-keyboard-response","85","109093","0.0-85.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","86","110095","0.0-86.0","",""
"","null","images_test/masked-version/BM0617_1100_00F_mask.jpg","null","image-keyboard-response","87","112100","0.0-87.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","88","112602","0.0-88.0","",""
"","293.77000000022235","images_test/masked-version/BM0605_1110_45L_mask.jpg","75","image-keyboard-response","89","112897","0.0-89.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","90","113900","0.0-90.0","",""
"","null","images_test/masked-version/BF06013_1100_013F_mask.jpg","null","image-keyboard-response","91","115903","0.0-91.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","92","116404","0.0-92.0","",""
"","1968.5349999999744","images_test/masked-version/BF0604_1100_45L_mask.jpg","70","image-keyboard-response","93","118374","0.0-93.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","94","119375","0.0-94.0","",""
"","null","images_test/masked-version/BM0619_1100_00F_mask.jpg","null","image-keyboard-response","95","121380","0.0-95.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","96","121882","0.0-96.0","",""
"","576.0950000003504","images_test/masked-version/BM0604_1110_45L_mask.jpg","70","image-keyboard-response","97","122459","0.0-97.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","98","123463","0.0-98.0","",""
"","null","images_test/masked-version/BF06014_1100_014F_mask.jpg","null","image-keyboard-response","99","125466","0.0-99.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","100","125967","0.0-100.0","",""
"","1780.9799999995448","images/masked-version/BF0602_1100_45L_mask.jpg","70","image-keyboard-response","101","127750","0.0-101.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","102","128753","0.0-102.0","",""
"","null","images_test/masked-version/BM0620_1100_00F_mask.jpg","null","image-keyboard-response","103","130757","0.0-103.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","104","131263","0.0-104.0","",""
"","364.3499999998603","images_test/masked-version/BM0603_1110_45L_mask.jpg","70","image-keyboard-response","105","131628","0.0-105.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","106","132634","0.0-106.0","",""
"","null","images_test/masked-version/BF06015_1100_015F_mask.jpg","null","image-keyboard-response","107","134640","0.0-107.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","108","135146","0.0-108.0","",""
"","270.8099999999977","images_test/masked-version/BF0606_1100_45L_mask.jpg","70","image-keyboard-response","109","135418","0.0-109.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","110","136421","0.0-110.0","",""
"","null","images_test/masked-version/BM0608_1100_00F_mask.jpg","null","image-keyboard-response","111","138424","0.0-111.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","112","138930","0.0-112.0","",""
"","346.6049999988172","images_test/masked-version/BM0607_1100_00F_mask.jpg","70","image-keyboard-response","113","139278","0.0-113.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","114","140284","0.0-114.0","",""
"","null","","null","image-keyboard-response","115","142285","0.0-115.0","",""
