"type_of_trial","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","difficulty","correct_key"
"","15899.524999998903","<p>In this study, you will briefly see a face and then a scrambled image.</p><p>You will then be shown another face and asked to indicate whether this face is the <strong> same </strong> face</p><p> or a <strong> different </strong> face than the one you were previously shown by pressing either <strong> f </strong> for same or <strong> k </strong> for different.</p><p>Press any key to begin.</p>","70","html-keyboard-response","0","15901","0.0-0.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","1","16903","0.0-1.0","",""
"","null","images_test/masked-version/BF0601_1100_01F_mask.jpg","null","image-keyboard-response","2","18909","0.0-2.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","3","19412","0.0-3.0","",""
"","255.2799999994022","images_test/masked-version/BF0601_1100_45L_mask.jpg","75","image-keyboard-response","4","19669","0.0-4.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","5","20671","0.0-5.0","",""
"","null","images_test/masked-version/BM0601_1100_00F_mask.jpg","null","image-keyboard-response","6","22674","0.0-6.0","",""
"","null","scrambled/BF0614_1100_00F.jpg","null","image-keyboard-response","7","23177","0.0-7.0","",""
"","337.21500000137894","images_test/masked-version/BM0601_1110_45L_mask.jpg","75","image-keyboard-response","8","23515","0.0-8.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","9","24516","0.0-9.0","",""
"","null","images_test/masked-version/BF0602_1100_02F_mask.jpg","null","image-keyboard-response","10","26518","0.0-10.0","",""
"","null","scrambled/BF062_1100_00F.jpg","null","image-keyboard-response","11","27021","0.0-11.0","",""
"","356.3499999982014","images/masked-version/BF0602_1100_45L_mask.jpg","75","image-keyboard-response","12","27378","0.0-12.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","13","28383","0.0-13.0","",""
"","null","images_test/masked-version/BM0602_1100_00F_mask.jpg","null","image-keyboard-response","14","30385","0.0-14.0","",""
"","null","scrambled/BF0615_1100_00F.jpg","null","image-keyboard-response","15","30890","0.0-15.0","",""
"","218.7049999993178","images_test/masked-version/BM0602_1100_45L_mask.jpg","75","image-keyboard-response","16","31110","0.0-16.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","17","32115","0.0-17.0","",""
"","null","images_test/masked-version/BF0603_1100_03F_mask.jpg","null","image-keyboard-response","18","34117","0.0-18.0","",""
"","null","scrambled/BF063_1100_00F.jpg","null","image-keyboard-response","19","34619","0.0-19.0","",""
"","518.0550000004587","images_test/masked-version/BF0603_1100_45L_mask.jpg","75","image-keyboard-response","20","35138","0.0-20.0","",""
"","null","<p style=""font-size: 300%"";>+</p>","null","html-keyboard-response","21","36139","0.0-21.0","",""
