"type_of_trial","rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","difficulty","correct_key"
"","9607.505000001765","<p>In this study, you will briefly see a face and then a scrambled image.</p><p>You will then be shown another face and asked to indicate whether this face is the <strong> same </strong> face</p><p> or a <strong> different </strong> face than the one you were previously shown by pressing either <strong> f </strong> for same or <strong> k </strong> for different.</p><p>Press any key to begin.</p>","70","html-keyboard-response","0","9610","0.0-0.0","",""
"","593.6099999998987","fixation_cross.png","70","image-keyboard-response","1","10206","0.0-1.0","",""
"","null","images/masked-version/BF0601_1100_00F_mask.jpg","null","image-keyboard-response","2","12212","0.0-2.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","3","12720","0.0-3.0","",""
"","2074.3550000006508","images/BF0601_1100_45L.jpg","70","image-keyboard-response","4","14796","0.0-4.0","",""
"","866.7150000001129","fixation_cross.png","70","image-keyboard-response","5","15664","0.0-5.0","",""
"","null","images/masked-version/BF0604_1100_45L_mask.jpg","null","image-keyboard-response","6","17669","0.0-6.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","7","18176","0.0-7.0","",""
"","304.1700000012497","images/masked-version/BF0602_1100_45L_mask.jpg","70","image-keyboard-response","8","18482","0.0-8.0","",""
"","629.2850000008912","fixation_cross.png","70","image-keyboard-response","9","19113","0.0-9.0","",""
"","null","images/BF0606_1100_45L.jpg","null","image-keyboard-response","10","21117","0.0-10.0","",""
"","null","scrambled/BF061_1100_00F.jpg","null","image-keyboard-response","11","21620","0.0-11.0","",""
"","455.4549999993469","images/BF0604_1100_00F.jpg","70","image-keyboard-response","12","22077","0.0-12.0","",""
"","558.7249999989581","fixation_cross.png","70","image-keyboard-response","13","22638","0.0-13.0","",""
"","null","","null","image-keyboard-response","14","24641","0.0-14.0","",""
